TABULA INDICANS CONSENSUM PAGINARUM EDITIONIS STEPH. CUM
PAGINIS LUGDUNENSIS ET FRANCOFURTANAE EDITIONUM.

 

steph. Lugd. Francos. Steph. Lugd. Francos. steph. Lugd. Francos.
Tom. 1. Tom. 1. Tom. 1.
2 48, a. 1. 1, 8. 1. 60 376, c. 9. 45, e. 8. 116 401, e. 7. 85, e. ult.
3 48, c. 3. 2, b. 10. l 376, g. 2. 46, d. 3. 17 402, a. 5. 86, d. 4.
4 48, f. 7. 3, a.. 5. 2 377, c. 3. 47, b. 8. 18 402, (1. 8. 87, b. 9.
5 49,1). 6. 3, e. 5. 3 377, f. 6. 48, a. 3. 121 7, e. 6. 88, a. 1.
6 49, e. 10. 4, c. 10. 4 378, 1). 6. 48, e. 5. 2 8, 1). 3 88, (1. 9.
7 50, a. 6. 5, 1). 5. 5 378, f. 1. 49, c. ult. 3 8, e. 6 89, (1. 6.
8 50, (1. 11. 5, f. 5. 6 379, 1). 2. 50, 1). 4. 4 9, a 4 90, b. 7.
9 50, h. l. 6, d. 9. 7 379, e. 4. 50, f. ult. 5 9,(1. 6 91, a. 2.
10 51, c. 9. 7, e. 5. 8 380, a. 6. 51, (1. ult. 6 9, g. 7 91, e. 3.
11 51, f. 8. 8, a. 9. 9 380, (1. 8. 52, c. 5. 7 10, c. 5 92, e. 9.
12 52, 1). 7. 8, e. 8. 70 380, g. 10. 53, a. 4. 8 lo, f. a 93, 1). 1.
13 52, e. 8. 9, (1. 2. 1 381, c. 11. 53, e. ult. 9 11,1). 6 93, e. 8.
14 53, a. 9. 10, b. 7. 2 381, g.7 . 54, d. 4. 130 11, e. 8 94, (1. 6.
15 53, e. 4. 11, a. 1. 3 382, c. 7. 55, b. nlt. 1 12, a. 8 95, b. pen.
16 54, a. 1. 11, e. 1. 4 382, f. 6. 56, a. 6. 2 4, (1. 1 96, a. 1.
17 358, (1. 1. 14, a. 1. 5 383, 1). 10. 56, e. 8. 3 5, a. 2 96, e. 1.
18 358, f. 7. 14, (1. 9. 6 383, f. 3. 57, (1. 2. 4 5, d. 2 97, c. 2.
19 359, c. 10. 15, c. 2. 7 384, b. 3. 56, 1). 6.⁴ 5 5, g. 3 98, a. 4.
20 359, f. 9. 16, a. 4. 8 384, e. 8. 59, a. 4. 6 6, c. 8. 98, e. 4.
1 360, c. 1. 16, e. 6. 9 385, a. 8. 59, e. 3. 7 6, f. 3. 99, c. 5.
2 360, s. 3. 17, (1. 1. 80 385, (1. 9. 60, c. 8. 8 7, a. 10.. 100, a. 5.
3 361, 1). 2. 18, 1). 10. 1 386, a. 2. 61, 1). 3. 9 7, e. 1 100, e. 3.
4 361, e. 4. 19, a. 4. 2 386, (1. 7. 61, f. 4. 142 114, 1). 1 106, a. 1.
5 362, a. 5. 19, e. 6. 3 386, g. 9. 62, d. 6. 3 114, (1. 4 106, (1. 7.
6 362, (1. 6. 20, (1. 1. 4 387, c. 6. 63, 1). ult. 4 115, a. 6 107, b. 9.
7 362, g. 7. 21, 1). 7. 5 387, f. 7. 64, a. 3. 5 115, d. 6 108, a. 1.
8 363, (1. 2. 22, a. 2. 6 388, c. 1. 64, e. 1. 6 115, g. 5 108, (1. 9.
9 363, g. 2. 22, e. 3. 7 388, f. 2. 65, c. 7. 7 116, e. 4 109, 1). 9
30 364, e. 5. 23, c. 9. 8 389, 1). 3. 66, b. 3. 8 116, f. 3 109, f. ult.
1 364, f. 5. 24, b. 4. 9 389, e. 4. 66, f. 2. 9 117, a. 8 110, (1. 8
2 365, b. 3. 24, f. 2. 90 390, a. 7. 67, d. 8. 150 117, d 9 111, b. peu.
3 365, e. 3. 25, (1. 5. 1 390, (1. 7. 68, b. 9. 1 117, h 3 112, a. 1.
4 366, a. 6. 26, c. 2. 2 390, g. 10. 68, f. ult. 2 118, (1 2 112, (1. 9.
5 366, (1. 7. 27, a. 4. 3 391, e. 9. 69, d. 8. 3 118, g 3 113, c. 1.
6 366, g. 5. 27, d. 8. 4 391, g. 1. 70, e. 3 4 119, e 1 114, a. 2.
t 367, c. 3. 28, 1). 9. 5 392, c. 3. 71, a. 9 5 119, f1 114, e. 1.
8 367, s. 4 29, a. 3. 6 392, f. 6. 71, e. ult 6 120, a. 7. 115, c. 4.
9 368, 1). 7. 29, e. 2. 7 393, 1). 8. 72, (1. 4. 7 120, e. 2. 116, a. 5.
40 368, e. 8. 30, c. 3. 8 393, e. 6. 73, 1). 5. 8 120,g. 11. 116, e. 2.
1 369, a. 7. 31, a. 7. 9 394, a. 5. 73, f. 1. 9 121, d. 1. 117, c. 8.
2 369, (1. 9. 31, e. 9. 100 394, (1. 7. 74, (1. 4. 160 121, g. 1. 118, a. 9.
3 369, f. l. 32, a. l. 1 394, h. 1. 75, b. ult. l 122, b. 8. 118, e. 9.
4 370, 1). 1. 33, a. 1. 2 395, c. 11. 76, a. 4. 2 122, e. 10. 119, d. 2.
5 370, e. 3. 33, d. ult. 3 395, g. 6. 76, e. 6. 3 123, a. 7. 120, b. 4.
6 871, a. 3. 34, c. 5. 4 396, c. 7. 77, (1. 3. 4 123, (1.9. 120, f. 2.
7 371, (1. 2. 35, a. 8. 5 396, f. 11. 78, 1). 8. 5 123, g. 7. 121, (1. 4.
8 371, g. 5. 35, e. 7. 6 397, c. 1. 79, a. 2. 6 124, c. 5. 122, 1). 6.
9 372, c. 9. 36, (1. 2. 7 397, f. 2. 79, (1. ult. 7 124, f. 5. 122, f. 3.
50 372, g. 2. 37, b. 7. 8 398, b. 1. 80, c. 2. 8 125, b. 6. 123, d. 6.
l 373, c 2. 38, 8.. 4. 9 398, e. 2. Sl, a. 4. 9 125, e. 6. 124,1). 9.
2 373, f. 4. 38, e. 5. 110 399, a 2. 81, e. 2. 170 126, a. 2. 124, e. pen .
. 3 374, 1). 6. 39, (1. 1. ι 11 399, (1. 3. 82, c. 3. 1 126, (1. 5. 125, (1. 6.
ἓ 4 374, s. l. 40, b. 8. 12 399. g 4. 83, 8. 6. 2 126, g. 6. 126, b. 9.
7 375, a. 9. 44, a. 1. 13 400, c. 4. 83, e. 5 3 127, c. 2. 127, a. 3.
Ι 8 375, 1). 9. 44, b.pen. 14 400. f 6. 84, e. 8 ι 4 127, f. 3. 127, e. 1.
9 375, e. 5. 45, a. 5. 15 401,b.1. 85, a. 9 Ι 5 128, b 3 128, c. 2.
1
ἓ

